"","id_pedido","data_pedido","data_envio","modo_envio","tipo_prioridade"
"1","CA-2012-124891",2012-07-31,2012-07-31,"Mesmo Dia","Critico"
"2","IN-2013-77878",2013-02-05,2013-02-07,"Segunda Classe","Critico"
"3","IN-2013-71249",2013-10-17,2013-10-18,"Primeira Classe","Medio"
"4","ES-2013-1579342",2013-01-28,2013-01-30,"Primeira Classe","Medio"
"5","SG-2013-4320",2013-11-05,2013-11-06,"Mesmo Dia","Critico"
"6","IN-2013-42360",2013-06-28,2013-07-01,"Segunda Classe","Critico"
"7","IN-2011-81826",2011-11-07,2011-11-09,"Primeira Classe","Critico"
"8","IN-2012-86369",2012-04-14,2012-04-18,"Classe Padrao","Alto"
"9","CA-2014-135909",2014-10-14,2014-10-21,"Classe Padrao","Baixo"
"10","CA-2012-116638",2012-01-28,2012-01-31,"Segunda Classe","Critico"
"11","CA-2011-102988",2011-04-05,2011-04-09,"Segunda Classe","Alto"
"12","ID-2012-28402",2012-04-19,2012-04-22,"Primeira Classe","Alto"
"13","SA-2011-1830",2011-12-27,2011-12-29,"Segunda Classe","Critico"
"14","MX-2012-130015",2012-11-13,2012-11-13,"Mesmo Dia","Critico"
"15","IN-2013-73951",2013-06-06,2013-06-08,"Segunda Classe","Critico"
"16","ES-2014-5099955",2014-07-31,2014-08-03,"Segunda Classe","Critico"
"17","CA-2014-143567",2014-11-03,2014-11-06,"Segunda Classe","Critico"
"18","ES-2014-1651774",2014-09-08,2014-09-14,"Classe Padrao","Baixo"
"19","IN-2014-11763",2014-01-31,2014-02-01,"Primeira Classe","Critico"
"20","TZ-2014-8190",2014-12-05,2014-12-07,"Segunda Classe","Alto"
"21","PL-2012-7820",2012-08-08,2012-08-10,"Primeira Classe","Critico"
"22","CA-2011-154627",2011-10-29,2011-10-31,"Primeira Classe","Alto"
"23","IN-2011-44803",2011-05-02,2011-05-03,"Primeira Classe","Critico"
"24","ES-2013-2860574",2013-02-27,2013-03-01,"Segunda Classe","Alto"
"25","US-2014-133193",2014-07-31,2014-08-01,"Primeira Classe","Critico"
"26","MX-2014-165309",2014-09-05,2014-09-08,"Primeira Classe","Critico"
"27","IN-2011-10286",2011-12-17,2011-12-20,"Primeira Classe","Critico"
"28","ES-2011-4699764",2011-03-14,2011-03-17,"Segunda Classe","Critico"
"29","CA-2013-159016",2013-03-11,2013-03-12,"Primeira Classe","Alto"
"30","IN-2012-44810",2012-02-25,2012-02-25,"Mesmo Dia","Critico"
"31","US-2011-128776",2011-12-28,2011-12-30,"Segunda Classe","Critico"
"32","ES-2012-5870268",2012-07-17,2012-07-19,"Primeira Classe","Critico"
"33","CA-2012-139731",2012-10-15,2012-10-15,"Mesmo Dia","Alto"
"34","IN-2011-28087",2011-11-03,2011-11-05,"Segunda Classe","Critico"
"35","CA-2011-168494",2011-12-12,2011-12-14,"Segunda Classe","Alto"
"36","CG-2011-8610",2011-09-14,2011-09-15,"Primeira Classe","Alto"
"37","CA-2011-160766",2011-09-14,2011-09-14,"Mesmo Dia","Alto"
"38","US-2014-168116",2014-11-05,2014-11-05,"Mesmo Dia","Alto"
"39","ES-2014-2637201",2014-01-14,2014-01-18,"Classe Padrao","Alto"
"40","IN-2011-61302",2011-01-10,2011-01-11,"Primeira Classe","Medio"
"41","ID-2013-63976",2013-08-22,2013-08-26,"Classe Padrao","Alto"
"42","IN-2014-37320",2014-11-11,2014-11-15,"Classe Padrao","Alto"
"43","IN-2014-76016",2014-09-26,2014-09-28,"Segunda Classe","Medio"
"44","ES-2012-5877219",2012-12-13,2012-12-17,"Classe Padrao","Alto"
"45","IT-2011-3183678",2011-09-23,2011-09-25,"Primeira Classe","Critico"
"46","CA-2011-116904",2011-09-23,2011-09-28,"Classe Padrao","Medio"
"47","IT-2013-3085011",2013-03-08,2013-03-08,"Mesmo Dia","Critico"
"48","IN-2014-50473",2014-08-28,2014-08-29,"Primeira Classe","Alto"
